label,centroid
54,"[ 2.36477788  2.00457303 -2.25182692 -1.82890733 -0.06203238  0.13036582
  2.63006719  3.60797564 -1.90180349 -2.82523219 -1.67137527  0.41792949
  0.41804155 -0.1650417   3.17642911  1.08236122 -2.43422063 -3.86852487
  0.66569567 -2.48265886  2.00853491 -1.3257618  -1.93796984  1.10866117
  2.17780844 -1.53693994  1.84217644 -1.80567233  3.20049     0.02017382
 -0.94158045  1.89822102]"
55,"[-1.65523243  2.30911751 -2.64962158  1.40798912 -2.72818203 -0.90746851
 -0.99518785 -1.34749508  1.7530859  -1.6921236   2.12029762  2.24710693
  3.72488441  2.17721806  2.67434864 -1.01839561 -1.96982784 -2.95421638
  1.77551117 -2.5033289  -2.22482491 -2.75710354  0.01975067  2.81219616
 -2.16482258 -1.07364082  0.10219078  2.9267952   0.1417259  -2.40987091
  1.71376114 -1.16232615]"
56,"[ 0.68071784 -1.03707282  1.03729555 -1.96026082  1.09923384  3.09082328
  0.77721967  2.05431112 -0.56843556  0.92750941 -1.71903578 -1.80188751
 -1.55610349 -3.16422547 -0.62607378 -0.55080133  1.24849033 -0.65619765
 -1.61048709  1.61916553  1.78769641  2.44740274  0.56401957 -1.84953796
  3.22197723  1.27037038 -0.07963377 -1.83943791 -0.15062001  3.40816455
  0.32575324 -0.21394678]"
57,"[ 3.38563334  3.36598129 -3.23245036 -0.46882668  0.96689256 -1.77553635
  3.62171071  2.9367012  -3.13947449 -3.5983757  -2.5324585   1.36760686
 -0.2963522   0.94601898  3.17565079  1.68073756 -3.53215485 -2.94323832
  1.82902031 -3.41541214  3.24287618 -2.59058863 -2.41532771  2.26088282
  1.54910138 -2.44787598  3.23958766 -2.61099396  3.62338537 -1.59314346
 -2.22538884  3.43716939]"
58,"[ 0.54580994  2.73431396  0.59669526  3.68455633  4.69819546 -2.46603441
 -0.49507964 -3.99906413 -0.36433446  1.63766591 -4.18227641  3.72533067
 -3.19949849  4.17450682 -2.46838506  4.15227191  1.21292337  3.50107956
  4.82741992  2.37812297  3.63372389  0.60603352 -4.39309565  1.23994724
 -2.43200239 -4.14629745  0.26267477 -0.37496463 -2.84395885 -1.23512236
 -4.5776577  -1.02740415]"
59,"[-2.84416724 -2.48423428  2.34750637  0.28560246  1.35424321  3.10112678
 -2.46405351 -2.00929684  2.83517643  2.92645976 -0.01445142 -2.6308726
 -1.52392968 -3.7208747  -2.36607242 -3.19908719  3.27430081  1.66028765
 -2.61285163  3.09427728 -0.33164075  3.24404907  2.84868741 -2.66166195
  0.14999524  3.35967373 -2.78445841  1.56273821 -3.04877014  3.49978943
  1.67372216 -2.21768511]"
62,"[ 3.01346736  2.81733343 -2.89702606 -1.06566609  0.54309893 -1.03759691
  3.29667261  3.40505197 -2.67561298 -3.40545527 -2.22453414  0.9337901
  0.00920117  0.48634497  3.31507026  1.46654701 -3.186203   -3.46271091
  1.34489399 -3.15876834  2.76923158 -2.09984758 -2.26629045  1.76535108
  1.88277562 -2.09653854  2.68801392 -2.30253537  3.61780972 -0.91765997
 -1.781449    2.90019353]"
63,"[-2.09444427  0.37745331 -0.66806071 -0.15519895 -1.81710099  2.21805757
 -1.57283644 -1.34847838  2.18371536  0.38342172  2.12941488  0.50395781
  2.12433925 -0.31508061  0.68035259 -1.82166152  0.3784595  -1.4033988
 -0.0259166  -0.00460539 -2.30167759 -0.38264303  0.94389141  0.81321745
 -0.83685696  0.70883491 -0.99831309  2.02957431 -1.2539622   0.14404193
  3.3323036  -3.15894295]"
64,"[-2.1410737   0.65134255 -0.94516142  0.06804924 -2.08855391  1.84326919
 -1.59311787 -1.4444979   2.21774371  0.12602303  2.25642538  0.81337039
  2.47828039  0.08102618  0.96011734 -1.75869846  0.07604468 -1.6649135
  0.24984946 -0.3351324  -2.45780389 -0.75079735  0.83771014  1.14640053
 -1.1059471   0.45277858 -0.89508732  2.26827415 -1.15004341 -0.24878569
  3.2690382  -3.04445712]"
65,"[ 1.54413395 -0.09266902  0.02584237 -2.41774158  0.66793065  2.56005535
  1.64355698  2.96209183 -1.2594264  -0.3027539  -1.85283146 -1.0862112
 -0.9634676  -2.3573143   0.6459579   0.15169876  0.06950324 -1.94353085
 -0.9039855   0.42004962  1.95864429  1.37064199 -0.4426136  -0.94532461
  3.33943672  0.30155356  0.69365711 -2.23004684  1.05011473  2.55061989
  0.05775028  0.37572975]"
